date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2023-02-23,134.67,131.39,128.99,124.78,125.18,129.93,153.98,170.0,178.06,163.96,139.9,130.0,131.75,124.23,128.97,118.0,127.55,151.89,165.22,165.0,149.9,151.14,141.5,132.94
2023-02-24,133.65,153.0,125.8,128.96,117.55,110.62,120.0,144.0,171.0,168.6,150.1,135.74,125.96,120.0,108.64,109.9,113.2,124.86,150.1,115.1,129.9,104.91,107.46,83.95
2023-02-25,115.02,106.91,103.14,97.03,87.0,95.41,100.1,95.3,119.9,105.07,74.4,54.9,47.35,35.05,52.35,84.9,93.9,124.8,172.0,186.6,170.0,166.92,149.2,125.6
2023-02-26,140.1,116.2,119.9,107.78,108.26,105.7,107.04,109.9,115.27,113.92,96.9,92.33,84.14,54.63,54.9,85.0,98.92,129.9,153.7,156.91,153.64,141.64,138.29,132.98
2023-02-27,122.83,133.0,132.92,125.03,120.07,139.83,152.3,186.66,190.25,169.94,128.01,109.99,110.0,101.01,104.64,100.0,116.36,131.65,188.0,174.5,174.49,160.3,153.46,149.46
2023-02-28,134.0,124.82,123.83,124.59,120.1,129.0,161.94,177.6,189.28,163.0,120.93,117.97,116.71,116.33,116.75,130.0,132.0,173.13,193.87,192.46,174.73,153.88,150.49,129.9
2023-03-01,125.23,119.9,124.96,116.31,130.0,136.0,160.0,180.71,186.03,152.9,116.6,116.6,113.96,107.72,108.0,119.86,127.58,144.32,182.18,176.44,153.84,140.65,130.0,125.5
2023-03-02,111.79,111.1,114.0,130.1,120.0,126.0,146.0,178.69,189.56,141.44,107.1,116.4,105.06,102.05,94.83,116.05,120.0,165.81,184.5,159.44,152.08,157.56,144.91,139.9
2023-03-03,139.31,128.02,128.79,109.9,110.4,122.21,162.19,187.03,198.2,163.67,131.12,130.0,112.58,112.69,114.64,107.83,132.0,155.99,165.0,132.0,126.72,126.25,121.68,114.5
2023-03-04,116.07,123.91,126.58,125.93,128.0,100.19,115.7,112.1,120.0,120.1,134.0,119.9,117.0,111.0,105.95,108.6,111.6,140.0,159.65,151.4,131.4,139.96,131.47,113.83
2023-03-05,119.9,108.4,110.0,107.43,106.54,106.53,108.5,109.28,116.22,119.94,110.0,107.55,107.35,108.62,109.7,111.55,120.12,145.14,166.67,170.14,152.55,149.78,141.5,125.48
2023-03-06,134.5,122.44,119.96,121.11,122.41,135.59,159.8,185.0,217.09,186.35,170.26,160.84,149.9,144.93,120.0,116.12,107.64,135.0,160.0,150.3,120.0,115.72,120.0,114.93
2023-03-07,100.1,104.49,100.0,99.9,109.1,98.87,105.5,110.1,129.9,174.76,153.24,132.0,109.9,110.0,106.0,103.82,111.27,144.22,165.9,143.91,155.02,139.13,127.89,121.14
2023-03-08,117.01,114.49,114.33,111.0,111.0,118.23,140.68,158.53,173.1,162.99,152.99,144.18,137.19,135.08,137.42,141.08,144.47,153.01,166.89,170.02,153.77,134.39,128.65,119.0
2023-03-09,113.66,111.39,111.02,109.38,111.22,113.02,137.39,149.88,158.99,150.95,142.34,131.8,122.0,116.44,116.16,116.35,118.0,135.4,146.92,144.65,134.56,124.84,123.82,109.7
2023-03-10,102.89,100.68,99.06,98.84,99.09,105.0,119.81,136.9,140.91,136.61,131.89,125.1,116.41,112.83,114.72,112.22,109.49,128.95,135.01,128.97,110.0,108.96,110.0,102.0
2023-03-11,109.36,108.0,107.0,109.02,109.0,114.97,146.1,145.35,119.99,110.44,99.17,87.1,78.66,60.0,60.38,85.95,108.1,130.02,144.95,195.18,131.54,119.96,124.08,115.3
2023-03-12,120.88,101.05,101.0,90.3,91.7,91.98,90.55,88.78,90.22,93.71,91.98,87.79,79.73,68.96,70.0,74.9,85.05,100.95,120.05,141.04,129.97,104.31,94.9,80.78
2023-03-13,46.36,37.33,33.4,16.89,7.51,16.89,38.49,77.71,94.43,89.97,64.8,23.33,1.06,-0.98,-0.46,0.26,9.03,54.99,91.43,100.0,83.53,72.08,35.45,23.32
2023-03-14,9.57,4.48,4.04,1.95,3.64,9.8,42.93,94.36,100.11,108.86,82.83,60.95,46.48,56.42,65.51,59.82,78.83,131.55,162.0,203.0,199.45,151.2,133.5,144.6
2023-03-15,155.8,114.2,115.9,108.21,108.54,123.45,143.6,200.0,219.0,145.93,110.7,77.94,74.9,62.71,74.9,100.1,114.51,150.8,182.3,199.11,165.34,147.36,139.35,127.63
